DATE,CUUR0000SETB01
9/1/2022,328.918
8/1/2022,348.593
7/1/2022,396.952
6/1/2022,430.142
5/1/2022,391.262
4/1/2022,362.802
3/1/2022,366.499
2/1/2022,305.959
1/1/2022,290.416
12/1/2021,290.185
11/1/2021,296.571
10/1/2021,288.501
9/1/2021,278.338
8/1/2021,277.448
7/1/2021,275.656
6/1/2021,268.979
5/1/2021,263.17
4/1/2021,252.603
3/1/2021,247.652
2/1/2021,221.689
1/1/2021,207.406
12/1/2020,193.99
11/1/2020,187.609
10/1/2020,192.792
9/1/2020,195.888
8/1/2020,194.449
7/1/2020,194.397
6/1/2020,185.422
5/1/2020,168.528
4/1/2020,168.891
3/1/2020,202.205
2/1/2020,218.373
1/1/2020,227.01
12/1/2019,228.857
11/1/2019,232.575
10/1/2019,235.168
9/1/2019,231.496
8/1/2019,233.625
7/1/2019,244
6/1/2019,242.043
5/1/2019,254.551
4/1/2019,248.499
3/1/2019,225.282
2/1/2019,206.749
1/1/2019,201.194
12/1/2018,212.152
11/1/2018,235.381
10/1/2018,253.793
9/1/2018,252.216
8/1/2018,251.367
7/1/2018,252.232
6/1/2018,255.885
5/1/2018,255.096
4/1/2018,240.962
3/1/2018,226.872
2/1/2018,227.42
1/1/2018,223.806
12/1/2017,216.781
11/1/2017,224.227
10/1/2017,218.591
9/1/2017,231.182
8/1/2017,209
7/1/2017,201.173
6/1/2017,205.881
5/1/2017,209.441
4/1/2017,212.424
3/1/2017,204.217
2/1/2017,201.957
1/1/2017,206.36
12/1/2016,195.915
11/1/2016,192.522
10/1/2016,197.357
9/1/2016,193.817
8/1/2016,189.375
7/1/2016,195.243
6/1/2016,206.681
5/1/2016,198.011
4/1/2016,185.808
3/1/2016,170.356
2/1/2016,154.564
1/1/2016,171.574
12/1/2015,179.496
11/1/2015,190.701
10/1/2015,199.077
9/1/2015,207.239
8/1/2015,230.513
7/1/2015,243.736
6/1/2015,244.226
5/1/2015,238.17
4/1/2015,215.461
3/1/2015,215.442
2/1/2015,194.883
1/1/2015,185.142
12/1/2014,223.404
11/1/2014,251.172
10/1/2014,275.729
9/1/2014,294.222
8/1/2014,300.64
7/1/2014,313.514
6/1/2014,318.334
5/1/2014,317.434
4/1/2014,315.335
3/1/2014,304.464
2/1/2014,289.814
1/1/2014,286.607
12/1/2013,282.773
11/1/2013,280.742
10/1/2013,290.306
9/1/2013,305.299
8/1/2013,309.355
7/1/2013,310.886
6/1/2013,312.212
5/1/2013,310.352
4/1/2013,307.814
3/1/2013,319.523
2/1/2013,315.243
1/1/2013,286.417
12/1/2012,285.606
11/1/2012,298.131
10/1/2012,322.934
9/1/2012,329.898
8/1/2012,316.859
7/1/2012,295.498
6/1/2012,303.747
5/1/2012,323.604
4/1/2012,335.742
3/1/2012,329.78
2/1/2012,305.076
1/1/2012,290.762
